20151106,181500,243,WETP,AT0000454178,RCPTXAOPEN,,041100,50.5,20150121,113805,50.5,20150121,113805,,46,20151106,T,50.5,20150121,,,,45.33,20151106,164959,45.76,20151106,164959,,,,,,,,,,,,,,,PLN,REG,ROW
20151106,181500,243,WETP,AT0000454186,RCCTXAOPEN,,041100,58.39,20140220,095828,58.39,20140220,095828,,53.33,20151106,T,58.39,20140220,,,,53.75,20151106,164826,55.03,20151106,164826,,,,,,,,,,,,,,,PLN,REG,ROW
20151106,181500,243,WETP,AT0000454194,RCHTXAOPEN,,041100,125.09,20150420,093044,125.09,20150420,093044,,126.79,20151106,T,125.09,20150420,,,,127.01,20151106,164955,128.71,20151106,164955,,,,,,,,,,,,,,,PLN,REG,ROW
20151106,181500,243,WETP,AT0000454269,RCNIKAOPEN,,041100,59.81,20151102,111718,59.81,20151102,111718,,60.96,20151106,T,59.81,20151102,,,,61.15,20151106,164959,62,20151106,164959,,,,,,,,,,,,,,,PLN,REG,ROW
20151106,181500,243,WETP,AT0000467071,RCNDXAOPEN,,041100,177.29,20151023,153945,177.29,20151023,153945,,182.95,20151106,T,177.29,20151023,,,,186.51,20151106,164357,186.94,20151106,164357,,,,,,,,,,,,,,,PLN,REG,ROW
20151106,181500,243,WETP,AT0000473293,RCAT5AOPEN,,041100,,,,,,,,54.59,20151106,T,,,,,,56.79,20151106,164955,57.13,20151106,164955,,,,,,,,,,,,,,,PLN,REG,ROW
20151106,181500,243,WETP,AT0000481221,RCRDXAOPEN,,041100,35.51,20150824,141901,36.03,20150824,143735,,45.64,20151106,T,36.03,20150824,,,,43.55,20151106,164951,46.25,20151106,164951,,,,,,,,,,,,,,,PLN,REG,ROW
20151106,181500,243,WETP,AT0000481403,RCROXAOPEN,,041100,350.36,20150311,160030,350.36,20150311,160030,,380.3,20151106,T,350.36,20150311,,,,385.53,20151106,164955,390.85,20151106,164955,,,,,,,,,,,,,,,PLN,REG,ROW
20151106,181500,243,WETP,AT0000489034,RCCECAOPEN,,041100,70.83,20140630,134519,70.83,20140630,134519,,62.95,20151106,T,70.83,20140630,,,,62.69,20151106,164958,62.86,20151106,164958,,,,,,,,,,,,,,,PLN,REG,ROW
20151106,181500,243,WETP,AT0000489380,RCSILAOPEN,,041100,58.83,20151106,122945,58.89,20151106,134616,58.85,58.89,20151106,T,58.89,20151106,73,4295.97,,55.85,20151106,164227,60.9,20151106,164227,,,,,,,,,,,,,,,PLN,REG,ROW
